datetime,Chicago
1/1/2016,269.47
1/1/2016,269.01
1/1/2016,268.83
1/1/2016,268.31
1/1/2016,268.59
1/1/2016,268.59
1/1/2016,268.32
1/1/2016,267.47
1/1/2016,267.41
1/1/2016,267.03
1/1/2016,266.37
1/1/2016,266.79
1/1/2016,267.15
1/1/2016,267.82
1/1/2016,268.59
1/1/2016,268.86
1/1/2016,269.45
1/1/2016,269.79
1/1/2016,269.79
1/1/2016,270.48
1/1/2016,270.64
1/1/2016,271.04
1/1/2016,271.04
1/1/2016,270.43
1/2/2016,271.24
1/2/2016,271.47
1/2/2016,271.71
1/2/2016,271.38
1/2/2016,271.37
1/2/2016,270.47
1/2/2016,269.95
1/2/2016,269.95
1/2/2016,269.99
1/2/2016,269.32
1/2/2016,268.60
1/2/2016,267.99
1/2/2016,267.43
1/2/2016,266.81
1/2/2016,267.59
1/2/2016,268.73
1/2/2016,270.90
1/2/2016,270.87
1/2/2016,271.89
1/2/2016,273.02
1/2/2016,272.89
1/2/2016,273.59
1/2/2016,272.84
1/2/2016,272.83
1/3/2016,272.46
1/3/2016,272.09
1/3/2016,271.71
1/3/2016,271.79
1/3/2016,270.82
1/3/2016,270.56
1/3/2016,269.69
1/3/2016,269.13
1/3/2016,268.72
1/3/2016,268.72
1/3/2016,268.95
1/3/2016,268.17
1/3/2016,268.47
1/3/2016,268.79
1/3/2016,270.12
1/3/2016,270.15
1/3/2016,270.88
1/3/2016,271.66
1/3/2016,272.13
1/3/2016,272.10
1/3/2016,271.88
1/3/2016,271.76
1/3/2016,271.63
1/3/2016,271.41
1/4/2016,271.12
1/4/2016,271.02
1/4/2016,270.91
1/4/2016,270.79
1/4/2016,270.65
1/4/2016,270.24
1/4/2016,270.24
1/4/2016,269.67
1/4/2016,269.63
1/4/2016,269.48
1/4/2016,269.48
1/4/2016,269.80
1/4/2016,270.08
1/4/2016,269.72
1/4/2016,270.05
1/4/2016,270.97
1/4/2016,271.31
1/4/2016,271.96
1/4/2016,271.96
1/4/2016,272.32
1/4/2016,272.27
1/4/2016,271.95
1/4/2016,271.77
1/4/2016,271.59
1/5/2016,271.12
1/5/2016,270.62
1/5/2016,269.59
1/5/2016,269.41
1/5/2016,268.19
1/5/2016,268.19
1/5/2016,266.65
1/5/2016,265.82
1/5/2016,265.87
1/5/2016,265.99
1/5/2016,265.99
1/5/2016,265.98
1/5/2016,265.60
1/5/2016,265.56
1/5/2016,267.00
1/5/2016,268.57
1/5/2016,270.84
1/5/2016,270.81
1/5/2016,273.32
1/5/2016,274.09
1/5/2016,274.12
1/5/2016,273.92
1/5/2016,273.46
1/5/2016,272.03
1/6/2016,272.15
1/6/2016,271.86
1/6/2016,271.56
1/6/2016,270.90
1/6/2016,270.90
1/6/2016,270.37
1/6/2016,270.09
1/6/2016,270.12
1/6/2016,269.84
1/6/2016,269.82
1/6/2016,269.35
1/6/2016,269.20
1/6/2016,268.72
1/6/2016,268.66
1/6/2016,268.86
1/6/2016,269.93
1/6/2016,271.29
1/6/2016,273.01
1/6/2016,275.11
1/6/2016,275.58
1/6/2016,275.52
1/6/2016,275.59
1/6/2016,275.24
1/6/2016,275.24
1/7/2016,275.07
1/7/2016,274.89
1/7/2016,274.69
1/7/2016,274.99
1/7/2016,275.19
1/7/2016,275.18
1/7/2016,275.16
1/7/2016,274.98
1/7/2016,274.89
1/7/2016,274.64
1/7/2016,274.48
1/7/2016,274.55
1/7/2016,274.55
1/7/2016,274.58
1/7/2016,273.95
1/7/2016,275.25
1/7/2016,275.82
1/7/2016,276.44
1/7/2016,277.35
1/7/2016,277.80
1/7/2016,277.71
1/7/2016,277.99
1/7/2016,277.22
1/7/2016,277.19
1/8/2016,277.23
1/8/2016,277.23
1/8/2016,276.86
1/8/2016,276.97
1/8/2016,276.61
1/8/2016,276.61
1/8/2016,276.61
1/8/2016,276.57
1/8/2016,276.55
1/8/2016,276.31
1/8/2016,276.36
1/8/2016,276.51
1/8/2016,276.58
1/8/2016,276.73
1/8/2016,276.52
1/8/2016,276.97
1/8/2016,277.60
1/8/2016,278.25
1/8/2016,278.25
1/8/2016,279.09
1/8/2016,278.97
1/8/2016,278.98
1/8/2016,278.99
1/8/2016,279.00
1/9/2016,278.89
1/9/2016,278.77
1/9/2016,278.28
1/9/2016,278.81
1/9/2016,278.74
1/9/2016,278.73
1/9/2016,278.22
1/9/2016,277.90
1/9/2016,277.67
1/9/2016,277.51
1/9/2016,276.96
1/9/2016,276.58
1/9/2016,276.45
